Threshold,TP,FP,TN,FN,Precision,Recall,F1-score
0.1,805,1712,731,255,0.32,0.759,0.45
0.15,693,1391,1052,367,0.333,0.654,0.441
0.2,614,1189,1254,446,0.341,0.579,0.429
0.25,544,1038,1405,516,0.344,0.513,0.412
0.3,492,915,1528,568,0.35,0.464,0.399
0.35,451,837,1606,609,0.35,0.425,0.384
0.4,418,765,1678,642,0.353,0.394,0.373
0.45,378,702,1741,682,0.35,0.357,0.353
0.5,347,656,1787,713,0.346,0.327,0.336
0.55,320,610,1833,740,0.344,0.302,0.322
0.6,286,555,1888,774,0.34,0.27,0.301
0.65,260,513,1930,800,0.336,0.245,0.284
0.7,236,462,1981,824,0.338,0.223,0.268
0.75,207,398,2045,853,0.342,0.195,0.249
0.8,170,324,2119,890,0.344,0.16,0.219
0.85,136,215,2228,924,0.387,0.128,0.193
0.9,89,131,2312,971,0.405,0.084,0.139
